label,acc_x_min,acc_y_min,acc_z_min,acc_x_max,acc_y_max,acc_z_max,acc_x_skewness,acc_y_skewness,acc_z_skewness,acc_x_kurtosis,acc_y_kurtosis,acc_z_kurtosis,gy_x_min,gy_y_min,gy_z_min,gy_x_max,gy_y_max,gy_z_max,gy_x_skewness,gy_y_skewness,gy_z_skewness,gy_x_kurtosis,gy_y_kurtosis,gy_z_kurtosis
0,4.58,-4.14,-13.92,17.84,9.7,16.8,1.1174281761836216,0.37915032053370334,0.7597723243240887,7.215857079614688,6.717407768248929,5.360787384016525,-4.46,-2.83,-0.69,2.19,3.75,1.56,-0.6492650438057654,1.2049461205356649,1.8374499595070004,2.3419495305104645,9.565611189520626,7.027113218441995
0,6.07,-3.53,-2.33,16.49,7.34,4.47,1.048073854029489,-0.2941837606073923,0.16849525435880308,2.1715164197736003,3.4530545311185747,-0.7256601300529781,-1.05,-0.69,-0.83,2.25,0.99,0.54,0.6769563899746528,0.0045779491120041494,-0.5384299487212202,-0.5402622161716755,-0.7627831478594844,0.3803190467148245
1,-10.37,-25.73,-9.92,14.13,12.54,10.39,-0.7378919619063067,-0.5696397677110625,-0.2847544669684314,0.5732557763051438,-0.37977268290525634,8.180009009013343,-2.42,-2.32,-3.8,8.73,1.52,4.3,7.542980739024946,-0.5464977733619999,2.598357235670578,105.0565082521043,7.695732324019385,13.996548253351808
0,-9.14,-12.96,-9.58,24.3,5.8,8.27,-0.9155881372685952,-0.9220114119060453,-0.14026272904909795,1.060708337505452,-0.7746305202609123,1.8303119352970256,-2.68,-1.42,-4.33,2.96,1.3,2.48,-0.42497941828033325,-0.11795033688270727,-1.9440897488898323,1.8934769834089318,2.0814120064662367,15.274942156159625
1,-15.86,-26.29,-6.23,18.46,10.6,27.47,-0.34256906941289167,-0.45912760569967337,1.4501659115834293,-0.159688325733367,-0.3928972429852031,8.412352452273637,-3.66,-2.76,-2.03,3.63,3.45,6.16,0.20805179310423777,0.9565585789980282,3.955144175024932,14.50423350214065,12.090916467552935,18.820348255043815
1,-13.63,-30.71,-5.77,17.11,12.06,22.25,-0.49762496390955735,-0.5204001341604063,0.8188665359944732,-0.18092201024048427,0.42321154654962845,2.484268449370048,-3.83,-3.49,-2.7,2.89,5.29,3.1,-0.6994919769361231,1.5310011266302745,0.4354714494130912,0.8098808834704041,8.534946253020316,2.917671741380353
0,-5.88,-12.14,-5.01,16.91,5.73,17.66,-0.6876838363523291,-0.7644602231086085,0.6507721992849954,-0.49241798848664153,-0.9868127533954922,1.934648853182206,-6.16,-1.4,-2.41,2.23,1.82,2.91,-0.933364083105322,0.3893655868705239,0.13307457980044313,3.264154580914531,2.4098581169605557,4.821322848745288
0,6.96,-2.91,-2.74,15.83,19.4,16.52,1.1063498034831571,2.733445388106539,2.36355001914685,1.5699268839606706,26.228378239103677,18.149882332191105,-8.73,-0.68,-0.84,2.41,0.99,0.45,-3.1723093473085,-0.20205197634785702,-0.5577160466998156,23.733868126496592,-0.3814991122480613,-0.10559151342542439
0,2.01,-8.23,-4.71,29.23,6.35,8.56,2.618993789296682,-1.1023189749738227,0.2841897632813169,14.41519766109517,3.6323627094771025,0.7941484947226081,-1.56,-1.56,-1.57,2.07,1.14,1.25,-0.21030170477702545,0.01221065819754518,-0.14746975655096628,-0.47864421324884,0.24415852876616695,2.475086442438198
0,2.6,-4.47,-9.96,40.08,7.67,10.5,6.753570638009931,-1.0234064357516892,1.054794520960942,80.86939007446422,8.363655842829525,8.738927698898445,-2.44,-1.37,-1.71,2.73,1.71,0.77,0.5109856340976894,0.21732808533819967,-1.8485802140318306,2.6889479072939304,6.5143997657180925,14.432261648778745
